vulnerabilityID,analysisID,createdAt,vulnerabilities/vulnerabilityID,vulnerabilities_line,vulnerabilities_column,vulnerabilities_confidence,vulnerabilities_file,vulnerabilities_code,vulnerabilities_details,vulnerabilities_securityTool,vulnerabilities_language,vulnerabilities_severity,vulnerabilities_type,vulnerabilities_commitAuthor,vulnerabilities_commitEmail,vulnerabilities_commitHash,vulnerabilities_commitMessage,vulnerabilities_commitDate,vulnerabilities_vulnHash
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151083-03:00,4b2b55fc-bc45-432f-ae07-e9c13f71c77b,9,41,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashBBCase3.java,"MessageDigest md = MessageDigest.getInstance(""MD4"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,b5f293c775b390d8b3c94f945209600477a4864a9f9df7fb253a4552d992fd4a
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151084-03:00,717a378f-9173-4ca1-9771-71917a1fc839,9,41,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashBBCase4.java,"MessageDigest md = MessageDigest.getInstance(""MD2"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,a573eecf751f3b091f9521d519429f0ed429206500a25434dc6a00250cc62ea3
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151146-03:00,7b277ec8-5dc5-4a41-92cb-ff4545beeff6,9,27,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashBBCase2.java,"MessageDigest md = MessageDigest.getInstance(""MD5"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,cf1eb79770c00dad2f0beadaadeef57ca9731b203a06f96853d0decac4a3944f
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151147-03:00,be1f82c7-c37a-42e1-9acd-d7f48c83a8e5,9,27,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashBBCase1.java,"MessageDigest md = MessageDigest.getInstance(""SHA1"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,f0a9f4473f70a0059370e533f58f72cc452f10a5f83c86f10367ea0063608d8b
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151152-03:00,0941262f-f7fc-4a54-90fa-5308202cca7e,3,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase2.java,import javax.crypto.BadPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,84a26f8ad621a47c7d1864e97b3e95500124effd3c04a107f97726a99ce63496
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151153-03:00,dd804e74-c8d2-4db2-875d-1fa6455780d4,4,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase2.java,import javax.crypto.IllegalBlockSizeException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,762726194fa00e1dfb69a0e63702f56defa6d785b1ca66a01b365a1d01d39e85
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151154-03:00,fe31e2a3-344c-43df-84c0-7f1c2866e944,5,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase2.java,import javax.crypto.NoSuchPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,57d6f4b49f996fc9174eaabc1da1fb99c2b9e0a0ef18b46ff1d53216c1af4869
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151155-03:00,c6df984b-7f39-4b63-8ee0-2ee214a0905e,3,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase3.java,import javax.crypto.BadPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,fdb0ff64dae0e434b5280d0d6a63e181e541d079e093e51cd16f274095383c86
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151155-03:00,c972123a-5264-4be6-aecb-7268a4dd5e59,4,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase3.java,import javax.crypto.IllegalBlockSizeException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,9409eee5d14c23eaf547d3dc0081e9716423b190cd360760d44fc430ffb94345
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151156-03:00,cf96f382-8629-43ba-b5dc-6fe0e3063167,5,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase3.java,import javax.crypto.NoSuchPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,81ece571e263408873a7ac15d562c45da862bef3e7b9f5b0a0d6567a594f3cae
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151157-03:00,753f8afa-c0d5-4280-bbd9-8f64807647ea,3,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase4.java,import javax.crypto.BadPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,206d6120634b2f7c0c8612e3acb50fabf438d56b8357bdf05fc4be5a08e345a3
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151158-03:00,607f0544-6a0f-454b-bbab-5d9ee38fe928,4,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase4.java,import javax.crypto.IllegalBlockSizeException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,307b4ec926f36e6cd086034f826eef872024d03a31ee8e34dca088337a4bbb74
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151159-03:00,f4c88d44-a5d0-4d95-ad52-0317eefb5c12,5,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase4.java,import javax.crypto.NoSuchPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,f6541b2102194cc705e268231c9eda6e4b3eb660725c4d094f0f0b7a8d142f6e
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151201-03:00,20b0cc8e-8425-443e-8b0d-54d1a828b935,9,27,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABPSCase1.java,"MessageDigest md = MessageDigest.getInstance(""SHA1"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,1ae15ab396dd44e8f724313b674a4a14a4e4a536f1d691e1b0e15616bb72fcbf
00000000-0000-0000-0000-000000000000,780a572f-c41c-43d5-af1e-6db62ff7778c,2022-02-08T16:20:24.151202-03:00,4dfaba79-31e6-4680-951a-75cfdce51cef,9,27,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABPSCase2.java,"MessageDigest md = MessageDigest.getInstance(""MD5"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,e3d86a84266bd1155ed8553be5e385521fcf297d86c6d9f9972b012d0c243fb5
